,year,subj_grp_code,subj_grp_name,gender,number
77,2018,FACHGR-AGRW,"Agrar-, Forst- und Ernährungswissenschaften",GESW,0
78,2020,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESW,177
79,2019,FACHGR-SPR,Sport,GESM,211
80,2019,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESM,21
81,2022,FACHGR-MEDVET,Veterinärmedizin,GESM,0
82,2023,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESM,3721
83,2022,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESW,5179
84,2019,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESW,346
85,2022,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESW,10
86,2023,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESM,446
87,2018,FACHGR-MEDVET,Veterinärmedizin,GESM,0
88,2019,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESM,3344
89,2020,FACHGR-SPR,Sport,GESM,206
90,2019,FACHGR-SKW,Geisteswissenschaften,GESW,1839
91,2018,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESM,2475
92,2023,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESW,434
93,2020,FACHGR-AGRW,"Agrar-, Forst- und Ernährungswissenschaften",GESW,0
94,2018,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESW,1023
95,2020,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESM,5076
96,2020,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESM,832
97,2021,FACHGR-MEDVET,Veterinärmedizin,GESW,0
98,2022,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESW,1445
99,2022,FACHGR-INGW,Ingenieurwissenschaften,GESW,2046
100,2021,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESM,5096
101,2019,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESW,176
102,2019,FACHGR-AGRW,"Agrar-, Forst- und Ernährungswissenschaften",GESM,0
103,2023,FACHGR-INGW,Ingenieurwissenschaften,GESW,2104
104,2022,FACHGR-SPR,Sport,GESM,225
105,2020,FACHGR-MEDVET,Veterinärmedizin,GESW,0
106,2023,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESW,17
107,2018,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESW,184
108,2018,FACHGR-SKW,Geisteswissenschaften,GESM,2892
109,2018,FACHGR-INGW,Ingenieurwissenschaften,GESM,10836
110,2021,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESW,1327
111,2021,FACHGR-SPR,Sport,GESW,84
112,2021,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESW,196
113,2023,FACHGR-SPR,Sport,GESW,85
114,2020,FACHGR-SPR,Sport,GESW,81
115,2018,FACHGR-MEDVET,Veterinärmedizin,GESW,0
116,2019,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESW,1098
117,2021,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESW,16
118,2021,FACHGR-AGRW,"Agrar-, Forst- und Ernährungswissenschaften",GESW,0
119,2018,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESW,336
120,2020,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESW,1325
121,2018,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESM,3295
122,2020,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESW,1208
123,2021,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESW,1412
124,2018,FACHGR-SPR,Sport,GESW,65
125,2023,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESM,796
126,2019,FACHGR-INGW,Ingenieurwissenschaften,GESM,10829
127,2023,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESW,5427
128,2018,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESW,1239
129,2022,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESW,1459
130,2023,FACHGR-MEDVET,Veterinärmedizin,GESM,0
131,2021,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESW,4972
132,2023,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESW,1575
133,2023,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESW,1509
134,2021,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESW,386
135,2023,FACHGR-SKW,Geisteswissenschaften,GESM,2728
136,2022,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESW,404
137,2021,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESM,3593
138,2020,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESW,350
139,2022,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESM,3639
140,2021,FACHGR-MEDVET,Veterinärmedizin,GESM,0
141,2022,FACHGR-SKW,Geisteswissenschaften,GESW,2016
142,2019,FACHGR-MEDVET,Veterinärmedizin,GESM,0
143,2020,FACHGR-MEDVET,Veterinärmedizin,GESM,0
